Municipio,total_nao_conformidades,top_codigo_1,freq_codigo_1,top_codigo_2,freq_codigo_2,top_codigo_3,freq_codigo_3
Salto,331,RES-6.2,25,RES-6.9,23,RES-6.7,15
Santa Bárbara D'Oeste,231,RES-6.2,28,RES-6.4,19,RES-6.9,19
Santa Cruz Das Palmeiras,96,RES-6.7,10,RES-6.2,9,RES-6.9,9
Santa Rita Do Passa Quatro,77,CG-9.38.4,7,RES-6.7,7,RES-6.9,6
Santo Antônio De Posse,211,CG-9.38.4,10,CSB-2.11,8,RES-6.9,7
São Carlos,303,RES-6.3,21,EEE-7.4,16,EEE-7.5,15
São José do Rio Pardo,188,RES-6.2,15,RES-6.10,12,RES-6.11,11
São José do Rio Preto ,119,CSB-2.3,13,RES-6.4,12,RES-6.13,11
São Pedro,241,CG-9.38.4,20,CSB-2.2,18,RES-6.2,15
São Simão,39,CSB-2.14,6,CSB-2.2,5,RES-6.9,5
Serrana,147,CSB-2.3,16,CSB-2.2,14,RES-6.11,14
Sertãozinho,137,CSB-2.16,12,RES-6.7,10,CSB-2.3,8
Sorocaba,312,EEE-7.4,34,EEE-7.6,24,RES-6.2,24
Sumaré,212,RES-6.4,17,ETE-8.5,16,ETE-8.17,14
Tambaú,95,RES-6.11,4,CG-9.38.2,2,CSP-3.5,2
Tietê,384,CSB-2.11,36,CSB-2.3,34,CG-9.38.4,29
Valinhos,180,EEE-7.6,14,EEA-4.4,13,RES-6.2,12
Vinhedo,260,EEE-7.6,22,RES-6.4,18,RES-6.2,18
Votorantim,58,RES-6.9,10,RES-6.7,9,RES-6.10,7
